n,block_index,q_block,q,t,phi_abs,direct_divisor_vector_phi_abs,crosscheck_abs_error,max_phase_residual_cycles,max_scaled_residual,divisor_vector_count,scan_phi_abs_binary64
3,0,"[1000, 9999]",1330,1.205607797726033553360963663560633371505715150414529625393480E+4,9.999999217058881562434552108383087226649240726548807112602058E-1,9.999999217058883000000000000000000000000000000000000000000000E-1,1.437565447891616912773350759273451192887397941590644355464760E-16,1.259591377213334727954505959566505531622309998104061510305397E-4,2.519182754426669455909011919133011063244619996208123020610793E-4,4,0.99999992170588836
3,1,"[10000, 99999]",79335,7.191495837037208417736244529968635227699692590837346453427952E+5,9.999999998620567085906642194818721139429012194902589686282222E-1,9.999999998620567000000000000000000000000000000000000000000000E-1,8.590664219481872113942901219490258968628222199023024480671023E-18,5.287074344367620881899977277540123965717015068742863151981972E-6,1.057414868873524176379995455508024793143403013748572630396394E-5,4,0.99999999986205745
3,2,"[100000, 999999]",190537,1.727164608686656053810059650856033088019431936951377678448102E+6,9.999999999999572595306443445911105087830898032345457502104389E-1,9.999999999999573000000000000000000000000000000000000000000000E-1,4.046935565540888949121691019676545424978956114438769498340695E-17,9.306465434894283701488587043124220149773618394225646170276697E-8,1.861293086978856740297717408624844029954723678845129234055339E-7,4,0.99999999999995748
3,3,"[1000000, 2000000]",1143222,1.036298765211993632286035790513619852811659162170826607068861E+7,9.999999999984613431031967888969996719172623027967742199305126E-1,9.999999999984613000000000000000000000000000000000000000000000E-1,4.310319678889699967191726230279677421993051258590350930373555E-17,5.583879260936570220893152225874532089864171036535387702166018E-7,1.116775852187314044178630445174906417972834207307077540433204E-6,4,0.99999999999846156
4,0,"[1000, 9999]",1330,1.205607797726033553360963663560633371505715150414529625393480E+4,9.999999217058881562434552108383087226649240726548807112602058E-1,9.999999217058883000000000000000000000000000000000000000000000E-1,1.437565447891616912773350759273451192887397941590644355464760E-16,1.259591377213334727954505959566505531622309998104061510305397E-4,2.519182754426669455909011919133011063244619996208123020610793E-4,8,0.99999992170588836
4,1,"[10000, 99999]",79335,7.191495837037208417736244529968635227699692590837346453427952E+5,9.999999998620567085906642194818721139429012194902589686282222E-1,9.999999998620568000000000000000000000000000000000000000000000E-1,9.140933578051812788605709878050974103137177780097697551932898E-17,5.287074344367620881899977277540123965717015068742863151981972E-6,1.057414868873524176379995455508024793143403013748572630396394E-5,8,0.99999999986205745
4,2,"[100000, 999999]",190537,1.727164608686656053810059650856033088019431936951377678448102E+6,9.999999999999572595306443445911105087830898032345457502104389E-1,9.999999999999573000000000000000000000000000000000000000000000E-1,4.046935565540888949121691019676545424978956114438769498340695E-17,9.306465434894283701488587043124220149773618394225646170276697E-8,1.861293086978856740297717408624844029954723678845129234055339E-7,8,0.99999999999995748
4,3,"[1000000, 2000000]",1143222,1.036298765211993632286035790513619852811659162170826607068861E+7,9.999999999984613431031967888969996719172623027967742199305126E-1,9.999999999984613000000000000000000000000000000000000000000000E-1,4.310319678889699967191726230279677421993051258590350930373555E-17,5.583879260936570220893152225874532089864171036535387702166018E-7,1.116775852187314044178630445174906417972834207307077540433204E-6,8,0.99999999999846156
5,0,"[1000, 9999]",4296,3.894203833857924921232105186959760123299663373068285165932625E+4,9.999467731094451073552974957101878975407571603767849738131177E-1,9.999467731094451000000000000000000000000000000000000000000000E-1,7.355297495710187897540757160376784973813117666116345898226580E-18,3.095636108646450892269086420195515315664433598309387233476425E-3,6.191272217292901784538172840391030631328867196618774466952851E-3,16,0.99994677310947699
5,1,"[10000, 99999]",78005,7.070935057264605062400148163612571890549121075795893490888604E+5,9.999945601708584997607361560880767203934637577642144682656936E-1,9.999945601708585000000000000000000000000000000000000000000000E-1,2.392638439119232796065362422357855317343064019722498652704056E-19,1.041688699945624267097319880668336172812882410643331272655622E-3,2.083377399891248534194639761336672345625764821286662545311244E-3,16,0.9999945601709348
5,2,"[100000, 999999]",229719,2.082338478840802269507723397214173965931739689008085195607255E+6,9.999975557701889142650166519816750003323118303800283777226598E-1,9.999975557701888000000000000000000000000000000000000000000000E-1,1.142650166519816750003323118303800283777226597968060883512332E-16,7.031632768473714564647484605757958059207090567268350440485265E-4,1.406326553694742912929496921151591611841418113453670088097053E-3,16,0.99999755576985339
5,3,"[1000000, 2000000]",1251764,1.134689052114835086382957382972415542593593999656761851128605E+7,9.999994339686029390692338280662000505302193227688269639618189E-1,9.999994339686029000000000000000000000000000000000000000000000E-1,3.906923382806620005053021932276882696396181892718369296739792E-17,2.472826536787419245681054157287796777692291378396652341410167E-4,4.945653073574838491362108314575593555384582756793304682820334E-4,16,0.99999943396864821
6,0,"[1000, 9999]",4296,3.894203833857924921232105186959760123299663373068285165932625E+4,9.999368777618036483109645441201948182276202460750280658297153E-1,9.999368777618034000000000000000000000000000000000000000000000E-1,2.483109645441201948182276202460750280658297152926665595727990E-16,3.095636108646450892269086420195515315664433598309387233476425E-3,6.191272217292901784538172840391030631328867196618774466952851E-3,30,0.9999368777618507
6,1,"[10000, 99999]",78005,7.070935057264605062400148163612571890549121075795893490888604E+5,9.999944184970091704409771015514181641531455465407500056007932E-1,9.999944184970091000000000000000000000000000000000000000000000E-1,7.044097710155141816415314554654075000560079320504760230567340E-17,1.041688699945624267097319880668336172812882410643331272655622E-3,2.083377399891248534194639761336672345625764821286662545311244E-3,30,0.99999441849711723
6,2,"[100000, 999999]",229719,2.082338478840802269507723397214173965931739689008085195607255E+6,9.999934891853624505126064897642302760265085689439923571353986E-1,9.999934891853625000000000000000000000000000000000000000000000E-1,4.948739351023576972397349143105600764286460135531970244277099E-17,7.031632768473714564647484605757958059207090567268350440485265E-4,2.109489830542114369394245381727387417762127170180505132145580E-3,30,0.99999348918442843
6,3,"[1000000, 2000000]",1251764,1.134689052114835086382957382972415542593593999656761851128605E+7,9.999989310408947739738323074454065171053888503231252339112204E-1,9.999989310408952000000000000000000000000000000000000000000000E-1,4.260261676925545934828946111496768747660887795937222244111550E-16,2.472826536787419245681054157287796777692291378396652341410167E-4,7.418479610362257737043162471863390333076874135189957024230502E-4,30,0.99999893104180215
7,0,"[1000, 9999]",3125,2.832725088641996131017301841072916756357413417327372240116260E+4,9.948053893902807120511659571518074273008461336473874467257181E-1,9.948053893902808000000000000000000000000000000000000000000000E-1,8.794883404284819257269915386635261255327428186443899889231688E-17,2.529652300733709474821715434429957759810320181441267111373692E-2,5.059304601467418949643430868859915519620640362882534222747385E-2,60,0.99480538939058616
7,1,"[10000, 99999]",84814,7.688151861378632315395246027160267576758325170470519973543056E+5,9.983638409755098160573376953757985993252610984838626161699678E-1,9.983638409755097000000000000000000000000000000000000000000000E-1,1.160573376953757985993252610984838626161699677713133374840564E-16,9.536164140373817414791990109373954899174030088661494205642249E-3,2.860849242112145224437597032812186469752209026598448261692675E-2,60,0.99836384097584052
7,2,"[100000, 999999]",103169,9.351981269443395162909568436532855962772415515271925332497743E+5,9.998129408843456289028776422048319210455354975185957240307397E-1,9.998129408843455000000000000000000000000000000000000000000000E-1,1.289028776422048319210455354975185957240307396937019494261180E-16,3.763099037915599206891847718607758707372774421473840454383649E-3,1.128929711374679762067554315582327612211832326442152136315095E-2,60,0.99981294088546524
7,3,"[1000000, 2000000]",1961789,1.778306854055005743319136499678910812972049187380879443060940E+7,9.997541020846005070441899286726095608173467456548408707535212E-1,9.997541020846004000000000000000000000000000000000000000000000E-1,1.070441899286726095608173467456548408707535212007149837265118E-16,5.188465104334473544882916130253070983527489361869490454072191E-3,1.037693020866894708976583226050614196705497872373898090814438E-2,60,0.99975410207106097
8,0,"[1000, 9999]",3125,2.832725088641996131017301841072916756357413417327372240116260E+4,9.948053893902807120511659571518074273008461336473874467257181E-1,9.948053893902806000000000000000000000000000000000000000000000E-1,1.120511659571518074273008461336473874467257181355610011076831E-16,2.529652300733709474821715434429957759810320181441267111373692E-2,5.059304601467418949643430868859915519620640362882534222747385E-2,96,0.99480538939058616
8,1,"[10000, 99999]",84814,7.688151861378632315395246027160267576758325170470519973543056E+5,9.983638409755098160573376953757985993252610984838626161699678E-1,9.983638409755092000000000000000000000000000000000000000000000E-1,6.160573376953757985993252610984838626161699677713133374840564E-16,9.536164140373817414791990109373954899174030088661494205642249E-3,2.860849242112145224437597032812186469752209026598448261692675E-2,96,0.99836384097584052
8,2,"[100000, 999999]",103169,9.351981269443395162909568436532855962772415515271925332497743E+5,9.998129408843456289028776422048319210455354975185957240307397E-1,9.998129408843451000000000000000000000000000000000000000000000E-1,5.289028776422048319210455354975185957240307396937019494261180E-16,3.763099037915599206891847718607758707372774421473840454383649E-3,1.128929711374679762067554315582327612211832326442152136315095E-2,96,0.99981294088546524
8,3,"[1000000, 2000000]",1961789,1.778306854055005743319136499678910812972049187380879443060940E+7,9.997541020846005070441899286726095608173467456548408707535212E-1,9.997541020846007000000000000000000000000000000000000000000000E-1,1.929558100713273904391826532543451591292464787992850162734882E-16,5.188465104334473544882916130253070983527489361869490454072191E-3,1.037693020866894708976583226050614196705497872373898090814438E-2,96,0.99975410207106097
9,0,"[1000, 9999]",3125,2.832725088641996131017301841072916756357413417327372240116260E+4,9.932066235828855481754198975889035359547681553276969548743664E-1,9.932066235828858000000000000000000000000000000000000000000000E-1,2.518245801024110964640452318446723030451256336195491145054877E-16,2.529652300733709474821715434429957759810320181441267111373692E-2,5.059304601467418949643430868859915519620640362882534222747385E-2,160,0.99320662358310552
9,1,"[10000, 99999]",81689,7.404879352514432702293515843052975901122583828737782749531430E+5,9.973451127453441000188622716381157474106226099503962265846710E-1,9.973451127453440000000000000000000000000000000000000000000000E-1,1.000188622716381157474106226099503962265846709883421790383502E-16,1.622796362193282703155535102692707682404854807447781428364758E-2,3.245592724386565406311070205385415364809709614895562856729516E-2,160,0.99734511274502102
9,2,"[100000, 999999]",394321,3.574409566970881780412395133675883546507557171628629597103628E+6,9.995381958157765357693679035721280717731698073404578444577244E-1,9.995381958157767000000000000000000000000000000000000000000000E-1,1.642306320964278719282268301926595421555422755953979870677775E-16,8.304079608374572227755685823537196179728845651526043596754535E-3,1.660815921674914445551137164707439235945769130305208719350907E-2,160,0.99953819583119896
9,3,"[1000000, 2000000]",1961789,1.778306854055005743319136499678910812972049187380879443060940E+7,9.997421934872926558350150631037076509134109105059999656989057E-1,9.997421934872929000000000000000000000000000000000000000000000E-1,2.441649849368962923490865890894940000343010943226067395768017E-16,5.188465104334473544882916130253070983527489361869490454072191E-3,1.037693020866894708976583226050614196705497872373898090814438E-2,160,0.99974219347659243
10,0,"[1000, 9999]",3125,2.832725088641996131017301841072916756357413417327372240116260E+4,9.879787375779950658680222302906934632114658490354113399692210E-1,9.879787375779960000000000000000000000000000000000000000000000E-1,9.341319777697093065367885341509645886600307789792232892488542E-16,2.529652300733709474821715434429957759810320181441267111373692E-2,7.588956902201128424465146303289873279430960544323801334121077E-2,270,0.98797873757854104
10,1,"[10000, 99999]",81689,7.404879352514432702293515843052975901122583828737782749531430E+5,9.952825357247860431030494682960105237522982590271558757684623E-1,9.952825357247861000000000000000000000000000000000000000000000E-1,5.689695053170398947624770174097284412423153766701340807213889E-17,1.622796362193282703155535102692707682404854807447781428364758E-2,4.757023877149446442837332361777133336500564510314557701434658E-2,270,0.99528253572267633
10,2,"[100000, 999999]",103169,9.351981269443395162909568436532855962772415515271925332497743E+5,9.994391426546279496466803615036396790628941915538586292412810E-1,9.994391426546275000000000000000000000000000000000000000000000E-1,4.496466803615036396790628941915538586292412810374452966023606E-16,3.763099037915599206891847718607758707372774421473840454383649E-3,1.881549518957799603445923859303879353686387210736920227191825E-2,270,0.99943914265800682
10,3,"[1000000, 2000000]",1961789,1.778306854055005743319136499678910812972049187380879443060940E+7,9.995637106203294029962308635849447498583537543817082690721326E-1,9.995637106203299000000000000000000000000000000000000000000000E-1,4.970037691364150552501416462456182917309278673796228565523299E-16,5.188465104334473544882916130253070983527489361869490454072191E-3,1.397704892080150175022431620884092485892910307697313451502596E-2,270,0.99956371058590154
11,0,"[1000, 9999]",6691,6.065204341793150756043765317958043525371985016107983250757727E+4,9.679824591929003292958413381186808166618388798079444833086299E-1,9.679824591928998000000000000000000000000000000000000000000000E-1,5.292958413381186808166618388798079444833086299236331454412763E-16,5.696030215594122993814564228068668332213833671016515395581155E-2,1.139206043118824598762912845613733666442766734203303079116231E-1,540,0.96798245919257409
11,1,"[10000, 99999]",54624,4.951512807743372693142051064536544156776555216258892199811539E+5,9.871514078624044495276785508556290339611567658230553532367850E-1,9.871514078624053000000000000000000000000000000000000000000000E-1,8.504723214491443709660388432341769446467632149641146031278075E-16,4.473752543323508986801552847390879256158322552583241161686438E-2,8.947505086647017973603105694781758512316645105166482323372877E-2,540,0.98715140786686251
11,2,"[100000, 999999]",903475,8.189748158274647854306741698762731092640045079103512430844923E+6,9.940526166719503533887856547869635215480629261702702427840584E-1,9.940526166719484000000000000000000000000000000000000000000000E-1,1.953388785654786963521548062926170270242784058444690094322053E-15,1.835166786145528047135941420663559789733466459177066653312740E-2,4.341492090827358946032621963258156437156135109457148689587059E-2,540,0.99405261676961543
11,3,"[1000000, 2000000]",1161483,1.052851850921974909517558014167966263335768834623247453301425E+7,9.963488288076242159592306778075727433318419796121373585629365E-1,9.963488288076230000000000000000000000000000000000000000000000E-1,1.215959230677807572743331841979612137358562936533881281785375E-15,1.693623219152402084848637854311280552860703109584785182354837E-2,3.387246438304804169697275708622561105721406219169570364709674E-2,540,0.99634882879540776
12,0,"[1000, 9999]",6691,6.065204341793150756043765317958043525371985016107983250757727E+4,9.635377922742527143340417800608303319062440176471599757748199E-1,9.635377922742544000000000000000000000000000000000000000000000E-1,1.685665958219939169668093755982352840024225180059463426062752E-15,5.696030215594122993814564228068668332213833671016515395581155E-2,1.139206043118824598762912845613733666442766734203303079116231E-1,792,0.9635377922738747
12,1,"[10000, 99999]",54624,4.951512807743372693142051064536544156776555216258892199811539E+5,9.859019096328673914164161822068935978284430370783395662253991E-1,9.859019096328681000000000000000000000000000000000000000000000E-1,7.085835838177931064021715569629216604337746009364793217972503E-16,4.473752543323508986801552847390879256158322552583241161686438E-2,8.947505086647017973603105694781758512316645105166482323372877E-2,792,0.98590190963751234
12,2,"[100000, 999999]",903475,8.189748158274647854306741698762731092640045079103512430844923E+6,9.936617720831031328847833755363294364370445227324309504437540E-1,9.936617720831030000000000000000000000000000000000000000000000E-1,1.328847833755363294364370445227324309504437539522812412062520E-16,1.835166786145528047135941420663559789733466459177066653312740E-2,4.341492090827358946032621963258156437156135109457148689587059E-2,792,0.99366177220036056
12,3,"[1000000, 2000000]",1161483,1.052851850921974909517558014167966263335768834623247453301425E+7,9.963479152311604567408591766877853180415119097975580065644773E-1,9.963479152311586000000000000000000000000000000000000000000000E-1,1.856740859176687785318041511909797558006564477312194252722411E-15,1.693623219152402084848637854311280552860703109584785182354837E-2,3.387246438304804169697275708622561105721406219169570364709674E-2,792,0.99634791521867694
