n,x_n,target_cap,v2_factorial,r_star,m_star,high_core_menu_size,layer_sizes,layer_sizes_up_to_target_cap,formal_profile_count,distinct_reachable_sums_up_to_target_cap,gcd_nonzero_layer_terms,maximum_downward_gap,correction_radius,first_failure_target
20,1559776268,10000000,18,3,5,7,7;7;7;7;7,7;7;7;7;7,32768,4418,16,9896336,7,8
21,7147792818,10000000,18,4,4,7,7;7;7;7,7;7;7;7,4096,1517,32,9899680,15,16
22,33526120082,10000000,19,4,4,3,3;3;3;3,3;3;3;3,256,159,32,9990880,15,16
23,160785623545,10000000,19,4,4,7,7;7;7;7,7;7;7;7,4096,1888,32,9856480,15,16
24,787685471322,10000000,22,4,6,7,7;7;7;7;7;7,7;7;7;7;7;7,262144,14777,32,9397216,15,16
25,3938427356614,10000000,22,4,6,7,7;7;7;7;7;7,7;7;7;7;7;7,262144,14777,32,9397216,15,16
26,20082117944245,10000000,23,4,6,3,3;3;3;3;3;3,3;3;3;3;3;3,4096,1105,32,9953632,15,16
27,104349745809073,10000000,23,4,6,3,3;3;3;3;3;3,3;3;3;3;3;3,4096,1105,32,9953632,15,16
28,552166953567228,10000000,25,4,7,3,3;3;3;3;3;3;3,3;3;3;3;3;3;3,16384,2492,32,9906528,15,16
29,2973510046012910,10000000,25,4,7,7,7;7;7;7;7;7;7,7;7;7;7;7;7;7,2097152,48399,32,8224032,15,16
30,16286585271694955,10000000,26,4,8,7,7;7;7;7;7;7;7;7,7;7;7;7;7;7;7;7,16777216,103434,32,6434080,15,16
31,90679869067935485,10000000,26,4,8,15,15;15;15;15;15;15;15;15,15;15;15;15;15;15;15;15,4294967296,217993,32,2664160,15,16
32,512962802680363491,10000000,31,4,10,15,15;15;15;15;15;15;15;15;15;15,15;15;15;15;15;15;15;15;15;12,1099511627776,310854,32,543,15,16
33,2946746955341073478,10000000,31,4,10,15,15;15;15;15;15;15;15;15;15;15,15;15;15;15;15;15;15;15;15;12,1099511627776,310854,32,543,15,16
34,17182339742875652406,10000000,32,4,11,7,7;7;7;7;7;7;7;7;7;7;7,7;7;7;7;7;7;7;7;7;7;4,8589934592,310593,32,607,15,16
35,101652092779175702171,10000000,32,4,11,7,7;7;7;7;7;7;7;7;7;7;7,7;7;7;7;7;7;7;7;7;7;4,8589934592,310593,32,607,15,16
36,609912556675054213027,10000000,34,4,12,7,7;7;7;7;7;7;7;7;7;7;7;7,7;7;7;7;7;7;7;7;7;7;4;4,68719476736,311411,32,607,15,16
37,3709953246501409085690,10000000,34,4,12,15,15;15;15;15;15;15;15;15;15;15;15;15,15;15;15;15;15;15;15;15;15;8;5;5,281474976710656,311688,32,607,15,16
38,22869687743093501007951,10000000,35,4,12,7,7;7;7;7;7;7;7;7;7;7;7;7,7;7;7;7;7;7;7;7;7;4;4;4,68719476736,311247,32,735,15,16
39,142821154179615294686593,10000000,35,4,12,7,7;7;7;7;7;7;7;7;7;7;7;7,7;7;7;7;7;7;7;7;7;4;4;4,68719476736,311247,32,735,15,16
40,903280290523322408635610,10000000,38,4,12,7,7;7;7;7;7;7;7;7;7;7;7;7,7;7;7;7;7;7;7;7;7;4;4;4,68719476736,311247,32,735,15,16
41,5783815921445270815783609,10000000,38,4,12,15,15;15;15;15;15;15;15;15;15;15;15;15,15;15;15;15;15;15;15;15;13;5;5;5,281474976710656,311443,32,735,15,16
42,37483411234209726053065805,10000000,39,4,12,15,15;15;15;15;15;15;15;15;15;15;15;15,15;15;15;15;15;15;15;15;13;5;5;5,281474976710656,311443,32,735,15,16
43,245795164849461258960674062,10000000,39,4,12,31,31;31;31;31;31;31;31;31;31;31;31;31,31;31;31;31;21;21;21;21;15;6;6;6,1152921504606846976,311602,32,735,15,16
44,1630420674178430788228519563,10000000,41,4,12,31,31;31;31;31;31;31;31;31;31;31;31;31,31;31;31;31;21;21;21;21;15;6;6;6,1152921504606846976,311602,32,735,15,16
45,10937194378152021970306618007,10000000,41,4,12,31,31;31;31;31;31;31;31;31;31;31;31;31,31;31;31;31;21;21;21;21;15;6;6;6,1152921504606846976,311602,32,735,15,16
46,74179661362209580727623742159,10000000,42,4,12,15,15;15;15;15;15;15;15;15;15;15;15;15,15;15;15;15;15;15;15;15;9;5;5;5,281474976710656,311119,32,927,15,16
47,508550136674023695658451670185,10000000,42,4,12,31,31;31;31;31;31;31;31;31;31;31;31;31,31;31;31;24;21;21;21;21;10;6;6;6,1152921504606846976,311375,32,927,15,16
48,3523338699662022653505900576721,10000000,46,4,12,31,31;31;31;31;31;31;31;31;31;31;31;31,31;31;31;24;21;21;21;21;10;6;6;6,1152921504606846976,311375,32,927,15,16
49,24663370897634158574541304037050,10000000,46,4,12,31,31;31;31;31;31;31;31;31;31;31;31;31,31;31;31;24;21;21;21;21;10;6;6;6,1152921504606846976,311375,32,927,15,16
50,174396368086360611696209329639024,10000000,47,4,12,31,31;31;31;31;31;31;31;31;31;31;31;31,31;31;31;24;21;21;21;21;10;6;6;6,1152921504606846976,311375,32,927,15,16
51,1245439180886558699493562057691804,10000000,47,4,12,31,31;31;31;31;31;31;31;31;31;31;31;31,31;31;31;24;21;21;21;21;10;6;6;6,1152921504606846976,311375,32,927,15,16
52,8980989654316715588967781706572076,10000000,49,4,12,31,31;31;31;31;31;31;31;31;31;31;31;31,31;31;31;24;21;21;21;21;10;6;6;6,1152921504606846976,311375,32,927,15,16
53,65382591597917144387816492317568177,10000000,49,4,12,63,63;63;63;63;63;63;63;63;63;63;63;63,63;63;56;31;28;28;28;27;11;7;7;7,4722366482869645213696,311499,32,927,15,16
54,480461962427038942460267525096444474,10000000,50,4,12,63,63;63;63;63;63;63;63;63;63;63;63;63,63;63;56;31;28;28;28;27;11;7;7;7,4722366482869645213696,311499,32,927,15,16
55,3563201278858419461033351267854721464,10000000,50,5,12,63,63;63;63;63;63;63;63;63;63;63;63;63,63;56;31;28;28;28;27;11;7;7;7;7,4722366482869645213696,155682,64,1855,31,32
56,26664556771205919519070097139612996000,10000000,53,5,12,63,63;63;63;63;63;63;63;63;63;63;63;63,63;56;31;28;28;28;27;11;7;7;7;7,4722366482869645213696,155682,64,1855,31,32
57,201312988912482288333668455069536465757,10000000,53,5,12,63,63;63;63;63;63;63;63;63;63;63;63;63,63;56;31;28;28;28;27;11;7;7;7;7,4722366482869645213696,155682,64,1855,31,32
58,1533154046820761769413164705689608744377,10000000,54,5,12,31,31;31;31;31;31;31;31;31;31;31;31;31,31;31;21;21;21;21;20;7;6;6;6;6,1152921504606846976,155546,64,1983,31,32
59,11776379687564843276211019969710858039009,10000000,54,5,12,63,63;63;63;63;63;63;63;63;63;63;63;63,63;43;28;28;28;28;24;8;7;7;7;7,4722366482869645213696,155588,64,1983,31,32
60,91219444817107882594696857529818207676198,10000000,56,5,12,63,63;63;63;63;63;63;63;63;63;63;63;63,63;43;28;28;28;28;24;8;7;7;7;7,4722366482869645213696,155588,64,1983,31,32
61,712446639319201784948673912308403605115342,10000000,56,5,12,127,127;127;127;127;127;127;127;127;127;127;127;127,90;53;36;36;36;36;27;9;8;8;8;8,19342813113834066795298816,155640,64,1983,31,32
62,5609810447812647575362248801595614968784558,10000000,57,5,12,63,63;63;63;63;63;63;63;63;63;63;63;63,61;31;28;28;28;28;19;7;7;7;7;7,4722366482869645213696,155472,64,2367,31,32
63,44526490041372451122965980435912297622389065,10000000,57,5,12,63,63;63;63;63;63;63;63;63;63;63;63;63,61;31;28;28;28;28;19;7;7;7;7;7,4722366482869645213696,155472,64,2367,31,32
64,356211920330979608983727843487298380979112523,10000000,63,5,12,63,63;63;63;63;63;63;63;63;63;63;63;63,61;31;28;28;28;28;19;7;7;7;7;7,4722366482869645213696,155472,64,2367,31,32
65,2871872314724746021942727901945240734448707786,10000000,63,5,12,63,63;63;63;63;63;63;63;63;63;63;63;63,61;31;28;28;28;28;19;7;7;7;7;7,4722366482869645213696,155472,64,2367,31,32
66,23331200978034608323876057832648816217523382535,10000000,64,5,12,63,63;63;63;63;63;63;63;63;63;63;63;63,61;31;28;28;28;28;19;7;7;7;7;7,4722366482869645213696,155472,64,2367,31,32
67,190974110596668796970008672429388554580114244205,10000000,64,5,12,127,127;127;127;127;127;127;127;127;127;127;127;127,80;39;36;36;36;36;20;8;8;8;8;8,19342813113834066795298816,155524,64,2367,31,32
68,1574812859496908794403637793960093262759360945119,10000000,66,5,12,127,127;127;127;127;127;127;127;127;127;127;127;127,80;39;36;36;36;36;20;8;8;8;8;8,19342813113834066795298816,155524,64,2367,31,32
69,13081378078327271990661335578798848847474255303826,10000000,66,5,12,127,127;127;127;127;127;127;127;127;127;127;127;127,80;39;36;36;36;36;20;8;8;8;8;8,19342813113834066795298816,155524,64,2367,31,32
70,109446661301155695857080695109221322834464193656741,10000000,67,5,12,127,127;127;127;127;127;127;127;127;127;127;127;127,80;39;36;36;36;36;20;8;8;8;8;8,19342813113834066795298816,155524,64,2367,31,32
71,922213960297642814598347871007016379244405330655250,10000000,67,5,12,255,255;255;255;255;255;255;255;255;255;255;255;255,98;48;45;45;45;45;21;9;9;9;9;9,79228162514264337593543950336,155566,64,2367,31,32
72,7825244940376376925358096892704591704511772131306815,10000000,70,5,12,255,255;255;255;255;255;255;255;255;255;255;255;255,98;48;45;45;45;45;21;9;9;9;9;9,79228162514264337593543950336,155566,64,2367,31,32
73,66858922078602825324590583356376523422703411874063526,10000000,70,5,12,511,511;511;511;511;511;511;511;511;511;511;511;511,115;58;55;55;55;53;22;10;10;10;10;10,324518553658426726783156020576256,155628,64,2367,31,32
74,575142194723999224356836312510183507170717503745407529,10000000,71,5,12,255,255;255;255;255;255;255;255;255;255;255;255;255,75;45;45;45;45;43;15;9;9;9;9;9,79228162514264337593543950336,155490,64,2623,31,32
75,4980877514193196669713282991946078429827937232372941867,10000000,71,5,12,255,255;255;255;255;255;255;255;255;255;255;255;255,75;45;45;45;45;43;15;9;9;9;9;9,79228162514264337593543950336,155490,64,2623,31,32
76,43422283469044442400520987277954690033900570230313299933,10000000,73,5,12,255,255;255;255;255;255;255;255;255;255;255;255;255,75;45;45;45;45;43;15;9;9;9;9;9,79228162514264337593543950336,155490,64,2623,31,32
77,381028991060110634246276414878912279469899189376847948137,10000000,73,5,12,255,255;255;255;255;255;255;255;255;255;255;255;255,75;45;45;45;45;43;15;9;9;9;9;9,79228162514264337593543950336,155490,64,2623,31,32
78,3365156932181068109459677272856044111292549448241189337343,10000000,74,5,12,255,255;255;255;255;255;255;255;255;255;255;255;255,75;45;45;45;45;43;15;9;9;9;9;9,79228162514264337593543950336,155490,64,2623,31,32
79,29910169058002623210200515287548862104836069367192860122492,10000000,74,5,12,511,511;511;511;511;511;511;511;511;511;511;511;511,87;55;55;55;55;50;16;10;10;10;10;9,324518553658426726783156020576256,155541,64,2623,31,32
80,267524684928818862621490012042605003730753817304274266583374,10000000,78,5,12,511,511;511;511;511;511;511;511;511;511;511;511;511,87;55;55;55;55;50;16;10;10;10;10;9,324518553658426726783156020576256,155541,64,2623,31,32
